preferred_name,cas,issue_type,recommended_action
generated_secondary_amine_difluoroethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_difluoroethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_difluoroethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_difluoroethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_trifluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_trifluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_trifluoromethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_trifluoroethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_methyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_ethyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_n-propyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_isopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_n-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_tert-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_methyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_ethyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_n-propyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_isopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_n-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_tert-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_ethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_n-propyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_isopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-propyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_isopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_isopropyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-butyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-butyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-butyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_n-butyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_tert-butyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_tert-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_tert-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_tert-butyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_tert-butyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_tert-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_tert-butyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_vinyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_allyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_allyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_allyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_allyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_allyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_allyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_allyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_allyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_allyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_cyclopropyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_cyclopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_cyclopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_cyclopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_cyclopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_cyclopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_cyclopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_cyclopropyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoromethyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoromethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoromethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoromethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoromethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_difluoromethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_difluoromethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_difluoromethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_difluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_difluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_difluoromethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoroethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoroethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoroethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoroethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_fluoroethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_difluoroethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_difluoroethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_difluoroethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_trifluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_trifluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_methyl_trifluoroethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_ethyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_n-propyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_isopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_ethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-propyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-propyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-propyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-propyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-propyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-propyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-propyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_isopropyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_isopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_isopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_isopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_isopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_isopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_isopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
